profile,time,depth,vol,tot_TotParticles,tot_nparticles,tot_nnparticles,tot_biovolume,tot_flux,tot_flux_fit,tot_speed,small_TotParticles,small_nparticles,small_nnparticles,small_biovolume,small_flux,small_flux_fit,small_speed,big_TotParticles,big_nparticles,big_nnparticles,big_biovolume,big_flux,big_flux_fit,big_speed,icp,psd,psd_gam,psd_seg,icp_gam,icp_seg,small_icp,small_psd,big_icp,big_psd,tn_flux,tot_flux2
stn_040,2017-01-12T05:00:27Z,70,278.08,8021,28.844217491369392,869.466626906964,10.543627979282242,6.51851518971213,68.44440949197737,0.6182421461114449,7956,28.61047180667434,868.2555592531899,10.337629966629473,6.323274611688228,66.3943834227264,0.6116754645020338,65,0.2337456846950518,1.2110676537741771,0.2059980126527687,0.1952405780239023,2.050026069250974,0.9477789397560878,-1.7801401860687232,-3.480796430660806,-3.3312325033248102,0.022117843419877437,-1.586636041252615,0.05858808173046032,-1.6936755314921097,-3.4386705787192784,-2.271301544250354,-4.6597642409042095,75.7205426421425,85.57904406340094
stn_040,2017-01-12T05:00:27Z,90,320.32,3062,9.55919080919081,286.44980322753156,3.522196243976564,2.1921159006483038,23.01721695680719,0.6223718807255901,3031,9.462412587412588,285.99253559042234,3.431527575745803,2.1032529342745323,22.08415580988259,0.6129203067288231,31,0.09677822177822178,0.4572676371092211,0.09066866823076081,0.08886296637377157,0.9330611469246015,0.9800846103485986,-2.7535980996253606,-3.414565569890055,-3.4283542969597613,0.020628786851060888,-2.0569377234687103,0.05485622965993278,-2.702157598489225,-3.3895273014727327,-2.9199835835553123,-3.5826020592077317,36.26701006418376,28.190813368551673
stn_040,2017-01-12T05:00:27Z,112.5,247.28,1646,6.656421869945001,198.70333575905542,2.454416819639256,1.5267551225509142,16.0309287867846,0.6220439455655754,1627,6.579585894532514,198.33328161286835,2.383681582979647,1.458206801782086,15.311171418711902,0.6117456342299293,19,0.07683597541248786,0.3700541461870658,0.07073523665960918,0.06854832076882815,0.7197573680726955,0.9690830766382409,-3.08209346346435,-3.397600853435944,-3.5317600527803577,0.021059050492939088,-2.548560002400074,0.05644769999844302,-3.0565311781405735,-3.3850137707687606,-3.1861984757981876,-3.791636075559686,23.171484082136054,19.495901520524114
stn_040,2017-01-12T05:00:27Z,137.5,207.68,1635,7.87268875192604,238.92903697902716,2.877169592225536,1.7803290418016935,18.69345493891778,0.6187779290495632,1619,7.7956471494607085,238.52648199158554,2.810006680484597,1.7171987450720247,18.03058682325626,0.6111013034231957,16,0.07704160246533127,0.40255498744163193,0.06716291174093882,0.06313029672966887,0.6628681156615231,0.9399577101894484,-3.11348829891219,-3.4983572520057606,-3.6369533626538217,0.022896764235548244,-3.033673859723703,0.06171353191666887,-3.084172792007784,-3.483831078643623,-3.44436887145836,-4.8917672276596615,28.734238915290106,23.77717433347343
stn_040,2017-01-12T05:00:27Z,162.5,205.04,1842,8.983612953570034,276.91703136606253,3.247870513437162,1.9975209800843257,20.973970290885422,0.6150248206694625,1828,8.915333593445181,276.5773343128928,3.186483147765152,1.9388226610203676,20.35763794071386,0.6084521935664922,14,0.0682793601248537,0.33969705316971605,0.0613873656720095,0.05869831906395816,0.6163323501715606,0.9561954389374057,-3.2350111641985646,-3.6254507018301565,-3.7295977845107484,0.024804392038021223,-3.4412640262178775,0.06688052591982493,-3.2156418455115547,-3.616010541278947,-3.3819853607594723,-4.171166600540215,32.90154555443763,27.833719104319574
stn_040,2017-01-12T05:00:27Z,187.5,204.16,1730,8.473746081504702,256.91225572377067,3.1093456249483116,1.9334401719252736,20.301121805215374,0.6218157789896432,1709,8.370885579937305,256.4154042723457,3.0147174260773317,1.8416744727884518,19.337581964278744,0.610894559091327,21,0.10286050156739812,0.4968514514249764,0.09462819887097963,0.0917656991368219,0.9635398409366297,0.9697500346798252,-2.9951325377900155,-3.475779236181638,-3.8079507625465947,0.02604743778394214,-3.7628331883447297,0.07002987824712426,-3.0404379127793764,-3.4975406900667494,-2.898295190053463,-3.8122121936797737,31.7211025885279,25.563140671569368
stn_040,2017-01-12T05:00:27Z,225,400.4,3265,8.154345654345654,255.12581929118616,2.9046146747656314,1.7691839961932159,18.576431960028767,0.6090942153406177,3233,8.074425574425575,254.7142310553378,2.8344396634026787,1.7029915424642028,17.88141119587413,0.6008212361874026,32,0.07992007992007992,0.4115882358483748,0.07017501136295254,0.06619245372901304,0.695020764154637,0.9432482082070313,-3.684402113933278,-3.8003395399463575,-3.89698432951106,0.026489311163100198,-4.080824942184853,0.07077996078502981,-3.825252638904853,-3.8673391277783327,-3.3487838765674973,-4.675895478113324,28.50689056486395,25.77074693588534
stn_040,2017-01-12T05:00:27Z,275,408.32,3380,8.27782131661442,265.35510389928487,2.879187911698216,1.7246309494617034,18.108624969347886,0.5989990936175033,3363,8.236187304075235,265.1577646922226,2.841056682594612,1.6879689484252942,17.72367395846559,0.5941342032231988,17,0.04163401253918496,0.1973392070622867,0.0381312291036041,0.03666200103640912,0.3849510108822957,0.9614691657800217,-4.341307291283673,-4.128792698497702,-3.9635265659860686,0.026146137577718394,-4.226996428948752,0.06976904272599804,-4.432883146381968,-4.172095656984826,-3.7948702496666407,-3.7691849538091176,27.58351504139827,27.085017824423602
stn_040,2017-01-12T05:00:27Z,325,417.12,4272,10.241657077100115,321.18321559018284,3.6085031364898374,2.1744993744741876,22.832243431978974,0.6026042633814714,4260,10.212888377445339,321.0533524157623,3.5814009404907394,2.1480207388397927,22.554217757817828,0.5997710880551289,12,0.028768699654775604,0.12986317442056813,0.027102195999098126,0.02647863563439487,0.2780256741611461,0.9769922568368996,-3.6552604701436064,-3.8981156595728192,-3.977353372447473,0.02729896272899476,-4.133245552533327,0.07363281586097431,-3.581140458171131,-3.8628565975067835,-4.111045871323444,-3.4290163768772906,35.974894292373335,32.29929206643332
stn_040,2017-01-12T05:00:27Z,375,406.56,3689,9.073691460055096,280.9867935891246,3.2175887957357183,1.9442337543862322,20.41445442105544,0.6042517791468357,3677,9.044175521448249,280.83231626606243,3.1919628269301032,1.9202269458722512,20.162382931658637,0.6015818635704618,12,0.0295159386068477,0.15447732306214834,0.025625968805615205,0.024006808513981025,0.2520714893968008,0.9368156457257769,-3.5587502734083487,-3.7910506440803062,-3.9499428773233674,0.02974729063249261,-3.907020127880875,0.08070854702335878,-3.4569823877568275,-3.7422954994984994,-4.426469749178558,-4.972137492707099,31.92264792563605,27.96703525005923
