project,profile,time,depth,vol,tot_TotParticles,tot_nparticles,tot_nnparticles,tot_biovolume,tot_flux,tot_flux_fit,tot_speed,small_TotParticles,small_nparticles,small_nnparticles,small_biovolume,small_flux,small_flux_fit,small_speed,big_TotParticles,big_nparticles,big_nnparticles,big_biovolume,big_flux,big_flux_fit,big_speed,icp,psd,psd_gam,psd_seg,icp_gam,icp_seg,small_icp,small_psd,big_icp,big_psd,smooth_TotParticles,smooth_nparticles,smooth_nnparticles,smooth_flux_fit
ETNP,stn_035,2017-01-10T14:19:24Z,50,249.92,10971,43.898047375160054,1261.2951309173072,3.399175499397532,1.8050123759603074,240.0666460027209,0.5310147641038914,10660,42.653649167733676,1253.1429075818473,2.7308352533732094,1.2072245238476313,160.56086167173495,0.442071531908207,311,1.2443982074263764,8.152223335459965,0.6683402460243223,0.597787852112676,79.50578433098592,0.8944364126934851,-1.3258611819549684,-3.621284501509021,-3.7762117459686504,0.13136597173879694,-1.0301944194845896,0.40328391098438054,-0.3138833706051491,-2.9412491159433936,-1.4766537672597186,-4.722296969633877,7692.375694373773,30.77935217018955,882.9996182070871,250.82574089357786
ETNP,stn_035,2017-01-10T14:19:24Z,70,216.48000000000002,5673,26.205654101995563,769.4837313153445,2.183829843761296,1.7575381975240205,233.75258027069472,0.8047963088996637,5546,25.618994826311898,765.9504961236902,1.5673864206073713,0.6809523697339246,90.56666517461197,0.4344508544804488,127,0.5866592756836658,3.533235191654303,0.6164434231539249,1.076585827790096,143.18591509608277,1.74644709855437,-1.5686754326514407,-3.3443605337080204,-3.2992741095967864,0.13914829101996845,-1.6483380520285724,0.3969961835509649,-1.1417698600860955,-3.1005722030773963,-1.6724637610141073,-3.471614778119767,4363.029818281129,20.154424511646013,583.4176476208115,181.22225358763188
ETNP,stn_035,2017-01-10T14:19:24Z,90,234.07999999999998,2326,9.936773752563226,287.83880283841484,0.7894568299691568,0.4298058911483254,57.16418352272728,0.544432418382038,2253,9.624914559125086,285.9233099147488,0.6081123347889429,0.26945607484620643,35.837657954545456,0.4431024655004348,73,0.31185919343814084,1.9154929236660354,0.1813444951802139,0.16034981630211895,21.326525568181818,0.8842276471793028,-2.2967133791358334,-3.2385982972195597,-3.2363803031837097,0.1417134782579344,-2.134119998288745,0.4037296282335695,-1.7902134125042994,-2.9240731601828664,-2.5173896451099185,-4.045385246058596,3384.906066711251,14.460466792170417,423.325084612785,147.98739089803988
ETNP,stn_035,2017-01-10T14:19:24Z,112.5,231.44,1728,7.466297960594538,219.62982397175224,0.5712111877216158,0.30966361908053924,41.18526133771172,0.5421175665618374,1675,7.237296923608711,218.2402000304643,0.4338993669387838,0.18660053577601107,24.817871258209472,0.4300548698480526,53,0.22900103698582788,1.3896239412879323,0.13731182078283208,0.12306308330452817,16.367390079502247,0.8962308022931307,-2.644345263364568,-3.241467552660823,-3.270419762917439,0.1438394502594192,-2.542513677092918,0.41149513739273463,-2.597208426373817,-3.200192085226912,-2.7471547178237583,-3.811551840824187,2535.677599452294,10.956090561062453,324.9787899932139,120.72074308137188
ETNP,stn_035,2017-01-10T14:19:24Z,137.5,193.6,1643,8.486570247933884,263.07808849761386,0.597548404138639,0.3245288842975207,43.16234161157025,0.5431005790490335,1598,8.25413223140496,261.73997656806205,0.44408728637322425,0.18291063016528927,24.327113811983473,0.4118799068964242,45,0.23243801652892562,1.338111929551803,0.15346111776541477,0.14161825413223142,18.83522779958678,0.9228282459711605,-2.6917219083112145,-3.2811343924601886,-3.2491861593185813,0.1494327385144805,-2.868552799635894,0.41945337739497024,-3.2819560490398914,-3.596396629725654,-2.5766061270925604,-3.479115611098976,1716.9851743127144,8.86872507392931,266.79187114892244,93.96914050548729
ETNP,stn_035,2017-01-10T14:19:24Z,162.5,198.88,1616,8.125502815768304,253.88787745163074,0.531259941353322,0.2764761212791633,36.771324130128725,0.5204159014415298,1586,7.974658085277555,252.97472555392238,0.429318631019855,0.1771831506436042,23.565359035599357,0.4127078068396475,30,0.1508447304907482,0.9131518977083538,0.10194131033346701,0.09929297063555914,13.205965094529365,0.974020937250613,-3.1249824726835795,-3.4916043986661327,-3.5115602708444102,0.15665768924774662,-3.130209693404982,0.43295101272459113,-3.2766496562575718,-3.5728607897130753,-3.088247785334465,-3.6227959590451144,1542.6109792368557,7.756491247168421,236.3807970194557,71.60156249347524
ETNP,stn_035,2017-01-10T14:19:24Z,187.5,205.04,1699,8.286188060866172,258.9598805108311,0.5429644246020137,0.2924684793211081,38.89830774970738,0.5386512745019786,1668,8.134998049161139,258.0627776768055,0.43131832348070387,0.17597304428404215,23.404414889777602,0.40798879784182124,31,0.15119001170503318,0.89710283402561,0.11164610112130985,0.11649543503706596,15.493892859929772,1.0434348702467184,-3.1737947358460126,-3.5209471583048644,-3.5148251109558073,0.16720972077900373,-3.369289013320206,0.4593535919700559,-3.54221271429063,-3.722648397847406,-3.0051487288011125,-3.39386871101072,1470.399016172415,7.171278853747634,221.11113223865476,54.87450173902937
ETNP,stn_035,2017-01-10T14:19:24Z,225,405.68,3230,7.961940445671465,253.93163364086567,0.45162327310132183,0.20526074245710907,27.299678746795504,0.4544954936612816,3196,7.878130546243344,253.4256861955042,0.401446686260669,0.16075520853874978,21.380442735653716,0.4004397446548296,34,0.08380989942812068,0.5059474453614613,0.05017658684065285,0.0445055339183593,5.919236011141787,0.8869781051408844,-3.8149979943519243,-3.8287445667171385,-3.8271078820578444,0.17353394094599406,-3.76721599538057,0.5091703704327195,-3.9512005502462992,-3.902877212536238,-3.7352781830484116,-3.770380390483403,2764.7079141741137,6.814996830442994,213.31053860000372,39.10677371861424
ETNP,stn_035,2017-01-10T14:19:24Z,275,549.12,4510,8.213141025641026,263.4955163835284,0.4456383058773775,0.19552421692890443,26.00472085154429,0.4387509205339838,4472,8.143939393939394,263.065929157266,0.40531950882102863,0.1596177666083916,21.229162958916085,0.3938072634911631,38,0.0692016317016317,0.4295872262624181,0.040318797056348894,0.03590645032051282,4.775557892628204,0.8905635321989033,-4.131976403165346,-4.005556690483337,-4.008001117876369,0.17541030120836193,-4.440179223055861,0.5473405835101898,-4.3979684835152035,-4.151691313820359,-4.025829656969693,-4.003106554438733,3732.196984104024,6.7966873982080855,216.1894237873639,28.788021967561125
ETNP,stn_035,2017-01-10T14:19:24Z,325,80.08,430,5.36963036963037,175.12551339157307,0.26229668548608304,0.1023728021978022,13.615582692307692,0.39029392235013166,430,5.36963036963037,175.12551339157307,0.26229668548608304,0.1023728021978022,13.615582692307692,0.39029392235013166,0,0,0,0,0,0,NaN,-5.5332161554517585,-4.526262834678574,-4.5253122569102,0.17668656021229018,-5.32585313272509,0.7727451818918306,-4.906065263421971,-4.189414898906003,-42.07929262758949,-0.991108163353405,558.2301556312268,6.970906039350985,224.54015201292864,24.116049726996337
