project,profile,time,depth,vol,tot_TotParticles,tot_nparticles,tot_nnparticles,tot_biovolume,tot_flux,tot_flux_fit,tot_speed,small_TotParticles,small_nparticles,small_nnparticles,small_biovolume,small_flux,small_flux_fit,small_speed,big_TotParticles,big_nparticles,big_nnparticles,big_biovolume,big_flux,big_flux_fit,big_speed,icp,psd,psd_gam,psd_seg,icp_gam,icp_seg,small_icp,small_psd,big_icp,big_psd
ETNP,stn_032,2017-01-08T00:53:16Z,157.5,41.36,281,6.794003868471954,216.26560280115464,2.3784237962902335,1.429429648058668,15.023305601096599,0.6009987161616163,280,6.7698259187620895,216.12168643383401,2.359175578609276,1.4122554665967733,14.842804953932088,0.5986224507415815,1,0.024177949709864605,0.1439163673206227,0.019248217680957542,0.017174181461894446,0.1805006471645106,0.8922478821966482,-4.118411360216853,-3.9166224138046934,-3.6476499311778925,0.01377433339747512,-2.765454142284308,0.024899442515888406,-3.998565903218377,-3.853262512732113,-70.88142763981516,-157.22263293315515
ETNP,stn_032,2017-01-08T00:53:16Z,162.5,41.36,347,8.389748549323018,267.11839872174534,2.9715750064389423,1.8080847592762748,19.002970819993646,0.6084600776889143,345,8.341392649903288,266.930485415532,2.9222635872425533,1.7580217988017197,18.476809105406073,0.6015959020522814,2,0.04835589941972921,0.18791330621335517,0.04931141919638912,0.050062960474555024,0.5261617145875733,1.0152407148367155,-3.3258815957489847,-3.6077186110820736,-3.6556841175223016,0.013572705409219867,-2.7909917471813603,0.02453476453068492,-3.2253624404703123,-3.5562469233120715,-3.371209331197595,-3.4116726699990894
ETNP,stn_032,2017-01-08T00:53:16Z,167.5,43.12,384.00000000000006,8.905380333951763,283.6062068593861,3.114879330016969,1.872224405680244,19.677078503699363,0.6010584062240525,382.00000000000006,8.858998144712432,283.40827964282533,3.070623994173072,1.828939375955687,19.22215284129427,0.5956246611198078,2,0.0463821892393321,0.1979272165607569,0.04425533584389679,0.043285029724557014,0.45492566240509413,0.9780748219206297,-3.9360145586299855,-3.9626876461960525,-3.6636811931627458,0.013380763360830083,-2.8164297518538977,0.02418762992598188,-4.055839533334352,-4.026236547608077,-3.524717778502348,-4.70987325133742
ETNP,stn_032,2017-01-08T00:53:16Z,172.5,43.12,420,9.740259740259742,311.98566159736896,3.392755080886364,2.031368530626041,21.349683256879693,0.5987371567343853,419,9.717068645640076,311.84761936749004,3.3742925047434045,2.014895336162591,21.176549983068835,0.59713120108294,1,0.02319109461966605,0.13804222987896464,0.018462576142959274,0.016473194463449775,0.1731332738108571,0.8922478821966483,-3.8977941555032967,-3.9928806409700677,-3.6716392557051383,0.013198781598119895,-2.84176302838161,0.02385853565181571,-3.68248534859518,-3.8758204735817836,-70.92310033621563,-157.22263293315496
ETNP,stn_032,2017-01-08T00:53:16Z,177.5,36.08,303,8.3980044345898,261.61893622949907,2.999650305832785,1.8276733701632004,19.208847120415236,0.6092954790794484,300,8.314855875831485,261.1550870116732,2.930632786940395,1.7647151435508428,18.547156158719357,0.6021618100414484,3,0.08314855875831487,0.46384921782588817,0.06901751889238958,0.06295822661235759,0.6616909616958782,0.9122064603701635,-3.385314603457977,-3.667310115209468,-3.6795563819499026,0.013027017337980167,-2.8669863903177584,0.02354794755112929,-3.51433305789858,-3.7321780030189635,-4.054111281464923,-6.9898853938474454
ETNP,stn_032,2017-01-08T00:53:16Z,182.5,18.48,164,8.874458874458874,289.04915858199183,3.0512620578689447,1.8169259277427876,19.0958915005767,0.5954670209519011,163,8.82034632034632,288.8487417149083,2.9965894081654696,1.761971059989706,18.518315840491812,0.5879921537426762,1,0.05411255411255411,0.20041686708353373,0.054672649703475185,0.054954867753081435,0.5775756600848858,1.0051619603428203,-4.577272359061495,-4.26721854338113,-3.68743062991679,0.012865707465636282,-2.892094598010094,0.023256294545681084,-4.9832414737939414,-4.472726047562963,-2.345898570039258,-43.56758784839526
ETNP,stn_032,2017-01-08T00:53:16Z,187.5,41.36,377,9.115087040618956,286.04409545749684,3.2361768678049594,1.963266214581706,20.63392791525373,0.6066622112385823,377,9.115087040618956,286.04409545749684,3.2361768678049594,1.963266214581706,20.63392791525373,0.6066622112385823,0,0,0,0,0,0,NaN,-3.3581335132754138,-3.6829803897773576,-3.6952600408538347,0.012715065292144563,-2.917082363879949,0.022983962750634992,-2.8834994733834587,-3.4336123046184586,-41.42078810120906,-0.9900177617709826
ETNP,stn_032,2017-01-08T00:53:16Z,192.5,40.48,324,8.003952569169961,252.75600729813743,2.8206582808820793,1.7014786351990996,17.882540455942536,0.6032204066445834,324,8.003952569169961,252.75600729813743,2.8206582808820793,1.7014786351990996,17.882540455942536,0.6032204066445834,0,0,0,0,0,0,NaN,-3.752938272130032,-3.8271332770853883,-3.7030426412278254,0.012575277338228557,-2.941944357653748,0.0227312896381483,-3.2646038707595717,-3.56343345160966,-41.3992818959882,-0.9900177617709277
ETNP,stn_032,2017-01-08T00:53:16Z,197.5,39.6,335,8.45959595959596,274.30960744486725,2.896715555333053,1.7118340162887207,17.991375511194455,0.5909568901707026,335,8.45959595959596,274.30960744486725,2.896715555333053,1.7118340162887207,17.991375511194455,0.5909568901707026,0,0,0,0,0,0,NaN,-4.898765678530046,-4.42265274909214,-3.7107764446991505,0.012446500218631605,-2.966675211553775,0.022498558384921947,-4.687706212800172,-4.312930477958619,-41.377302989269346,-0.9900177617709339
ETNP,stn_032,2017-01-08T00:53:16Z,202.5,39.6,331,8.358585858585858,274.34199086759054,2.8842563213861094,1.7260516289297325,18.14080262005149,0.5984390555483746,329,8.308080808080808,274.1457258588788,2.8327532835587697,1.6737636479896416,17.591255940371134,0.590861074172652,2,0.050505050505050504,0.19626500871172653,0.051503037827339754,0.052287980940090795,0.5495466796803543,1.0152407148367153,-3.9661579243170317,-3.9070268956009135,-3.718459454078581,0.012328857706967133,-2.991269525441484,0.02228599254921793,-4.293865065158211,-4.08588484735854,-3.3277242192578584,-3.411672669999088
